AccessCategoryID,CategoryName,Description,CreatedDate,LastUpdated,IsActive,ParentCategoryID,DisplayOrder,URLPattern,AccessLevel
1,Support,Access category for support,2023-09-06,2025-02-07,False,,4,/support,Registered Users
2,Blog,Access category for blog,2023-02-01,2024-09-02,True,115.0,19,/blog,Guest
3,Support,Access category for support,2021-11-20,2024-01-08,True,152.0,15,/support,Public
4,User Profile,Access category for user profile,2023-08-27,2024-07-01,False,149.0,10,/user-profile,Guest
5,User Profile,Access category for user profile,2022-08-31,2023-01-02,False,14.0,18,/user-profile,Admin
6,Blog,Access category for blog,2021-12-28,2023-08-12,True,169.0,17,/blog,Admin
7,Events,Access category for events,2023-03-29,2025-05-27,True,142.0,19,/events,Guest
8,Support,Access category for support,2024-03-23,2026-03-29,False,136.0,4,/support,Guest
9,User Profile,Access category for user profile,2023-05-12,2024-04-14,True,93.0,4,/user-profile,Registered Users
10,FAQs,Access category for faqs,2024-04-30,2026-04-09,True,41.0,14,/faqs,Public
11,Careers,Access category for careers,2022-07-24,2022-09-18,False,72.0,17,/careers,Public
12,Events,Access category for events,2023-05-01,2025-03-13,True,192.0,3,/events,Guest
13,FAQs,Access category for faqs,2022-03-15,2023-03-28,False,4.0,9,/faqs,Public
14,Events,Access category for events,2022-06-21,2023-11-18,False,76.0,15,/events,Registered Users
15,Promotions,Access category for promotions,2022-09-28,2025-01-29,False,89.0,17,/promotions,Registered Users
16,Promotions,Access category for promotions,2021-12-30,2023-12-31,False,81.0,20,/promotions,Guest
17,Login,Access category for login,2023-01-21,2023-03-01,False,53.0,5,/login,Registered Users
18,Products,Access category for products,2024-05-17,2024-12-20,True,125.0,18,/products,Public
19,News,Access category for news,2021-11-19,2023-05-26,False,144.0,6,/news,Admin
20,Careers,Access category for careers,2023-10-30,2026-05-02,True,178.0,8,/careers,Public
21,Reviews,Access category for reviews,2022-07-25,2022-11-03,True,17.0,7,/reviews,Admin
22,Careers,Access category for careers,2021-10-20,2022-06-06,False,26.0,9,/careers,Admin
23,About Us,Access category for about us,2022-07-29,2023-05-14,True,152.0,17,/about-us,Admin
24,Events,Access category for events,2024-05-14,2026-07-28,False,86.0,3,/events,Public
25,User Profile,Access category for user profile,2022-08-21,2022-09-02,True,108.0,17,/user-profile,Guest
26,Privacy Policy,Access category for privacy policy,2022-12-25,2024-12-29,False,63.0,5,/privacy-policy,Public
27,News,Access category for news,2022-11-27,2023-10-05,True,81.0,20,/news,Guest
28,Reviews,Access category for reviews,2022-07-23,2022-12-16,True,89.0,2,/reviews,Guest
29,Products,Access category for products,2023-06-01,2024-10-29,True,154.0,9,/products,Public
30,Terms of Service,Access category for terms of service,2022-01-17,2024-07-06,True,36.0,17,/terms-of-service,Public
31,Support,Access category for support,2024-02-03,2025-01-23,True,46.0,12,/support,Admin
32,About Us,Access category for about us,2023-02-05,2024-03-28,False,106.0,16,/about-us,Registered Users
33,Contact Us,Access category for contact us,2024-03-17,2024-06-29,True,119.0,13,/contact-us,Public
34,Cart,Access category for cart,2022-08-23,2022-11-01,False,60.0,1,/cart,Registered Users
35,Contact Us,Access category for contact us,2023-04-21,2024-01-26,False,29.0,15,/contact-us,Registered Users
36,Login,Access category for login,2022-02-08,2023-08-03,False,171.0,17,/login,Public
37,Products,Access category for products,2022-08-31,2024-12-13,False,124.0,5,/products,Admin
38,Login,Access category for login,2023-09-11,2023-11-20,False,10.0,11,/login,Guest
39,Careers,Access category for careers,2022-01-15,2023-08-25,True,112.0,4,/careers,Admin
40,About Us,Access category for about us,2024-04-06,2026-12-08,True,138.0,14,/about-us,Registered Users
41,Terms of Service,Access category for terms of service,2022-01-03,2024-07-08,True,130.0,12,/terms-of-service,Admin
42,Blog,Access category for blog,2023-12-25,2024-03-01,False,142.0,12,/blog,Registered Users
43,FAQs,Access category for faqs,2022-01-01,2023-06-21,False,60.0,6,/faqs,Registered Users
44,Terms of Service,Access category for terms of service,2024-02-05,2025-08-27,False,56.0,8,/terms-of-service,Admin
45,Promotions,Access category for promotions,2022-08-11,2022-08-21,True,112.0,11,/promotions,Public
46,Contact Us,Access category for contact us,2023-05-12,2025-09-22,False,48.0,3,/contact-us,Guest
47,User Profile,Access category for user profile,2023-01-30,2024-01-30,True,80.0,13,/user-profile,Public
48,About Us,Access category for about us,2022-03-23,2024-11-10,True,46.0,20,/about-us,Public
49,Products,Access category for products,2023-07-28,2024-12-03,False,102.0,8,/products,Public
50,User Profile,Access category for user profile,2021-12-01,2022-09-18,True,103.0,3,/user-profile,Admin
51,Help Center,Access category for help center,2023-10-05,2026-01-03,True,96.0,10,/help-center,Public
52,Checkout,Access category for checkout,2022-06-11,2023-05-19,True,113.0,10,/checkout,Admin
53,News,Access category for news,2023-08-02,2024-02-17,True,54.0,9,/news,Guest
54,About Us,Access category for about us,2024-05-24,2025-03-25,True,170.0,20,/about-us,Admin
55,Home,Access category for home,2022-04-26,2024-04-20,True,187.0,6,/home,Guest
56,News,Access category for news,2024-03-12,2025-07-27,True,153.0,12,/news,Registered Users
57,Cart,Access category for cart,2022-01-06,2024-08-11,False,16.0,15,/cart,Guest
58,Careers,Access category for careers,2021-10-06,2023-03-30,True,95.0,6,/careers,Guest
59,Cart,Access category for cart,2023-08-26,2025-02-19,True,129.0,6,/cart,Public
60,Careers,Access category for careers,2022-08-01,2024-12-08,True,179.0,17,/careers,Registered Users
61,Reviews,Access category for reviews,2022-05-05,2024-04-16,False,89.0,5,/reviews,Guest
62,Reviews,Access category for reviews,2023-05-20,2025-04-15,False,149.0,13,/reviews,Registered Users
63,Register,Access category for register,2022-01-18,2022-06-27,False,99.0,6,/register,Admin
64,Checkout,Access category for checkout,2022-01-27,2023-12-27,True,84.0,6,/checkout,Guest
65,FAQs,Access category for faqs,2022-01-19,2023-12-11,False,186.0,7,/faqs,Admin
